1,2,0.447572189
1,3,0.647590852
1,4,0.870913783
1,5,0.34667375
1,6,0.086263497
1,7,0.863619738
1,8,0.051658934
1,9,0.329542123
1,10,0.423928475
2,3,0.848692538
2,4,0.860326147
2,5,0.133630213
2,6,0.347119017
2,7,0.224910139
2,8,0.659811205
2,9,0.073803318
2,10,0.732461398
3,4,0.722164205
3,5,0.38916581
3,6,0.167610619
3,7,0.085882105
3,8,0.230283415
3,9,0.234892648
3,10,0.982962545
4,5,0.620163885
4,6,0.541956903
4,7,0.259915471
4,8,0.09475448
4,9,0.212400016
4,10,0.245142496
5,6,0.116306972
5,7,0.911736153
5,8,0.266258138
5,9,0.82184056
5,10,0.076403996
6,7,0.708604994
6,8,0.568019121
6,9,0.418217487
6,10,0.383747815
7,8,0.918804983
7,9,0.181433918
7,10,0.052715947
8,9,0.849376289
8,10,0.589587367
9,10,0.794160853
